Date,Time,"Rain (S-RGB 21038161:21038325-1),mm,Stanley Bridge Harbour","Average Wind Speed (S-WCF 21038161:21038468-1),Km/h,Stanley Bridge Harbour","Wind Gust Speed (S-WCF 21038161:21038468-2),Km/h,Stanley Bridge Harbour","Wind Direction (S-WCF 21038161:21038468-3),°,Stanley Bridge Harbour","Temperature (S-TMB 21038161:21098954-1),°C,Stanley Bridge Harbour","Solar Radiation (S-LIB 21038161:21109516-1),W/m²,Stanley Bridge Harbour","Battery (RX3000 BATTERY 21038161:21038161-B),V,Stanley Bridge Harbour","Barometric Pressure (M-BP 21038161:20735209-1),kPa,Stanley Bridge Harbour","Water Pressure (M-WP01 21038161:21411213-1),kPa,Stanley Bridge Harbour","Diff Pressure (M-DP01 21038161:21411213-2),kPa,Stanley Bridge Harbour","Water Temperature (M-WT 21038161:21411213-3),°C,Stanley Bridge Harbour","Water Level (M-WL01 21038161:21411213-4),meters,Stanley Bridge Harbour","Accumulated Rain (C-ACC-RAIN 21038161:21038325-2),mm,Stanley Bridge Harbour,Stanley Bridge","Temperature (S-TMB 21038161:21098957-1),°C,Stanley Bridge Harbour","Average Wind Speed (S-WCF 21038161:21038468-1),Km/h,Stanley Bridge Harbour","Wind Gust Speed (S-WCF 21038161:21038468-2),Km/h,Stanley Bridge Harbour","Wind Speed (S-WCF 21038161:21038468-1),m/s,Stanley Bridge Harbour","Gust Speed (S-WCF 21038161:21038468-2),m/s,Stanley Bridge Harbour","Temperature (S-TMB 21038161:21038284-1),°C,Stanley Bridge Harbour","Water Flow (M-WF-VNW 21038161:21411213-5),l/s,Stanley Bridge Harbour"
07/25/2023,17:02:00 -0300,0,,,195,,517,,,,,,,,,,,6.7,8.7,,
07/25/2023,17:04:00 -0300,0,,,190,,513,4.299,,,,,,,,,,6.7,9.7,,
07/25/2023,17:06:00 -0300,0,,,195,,511,,,,,,,,,,,6.3,10.4,,
07/25/2023,17:08:00 -0300,0,,,181,,506,,,,,,,,,,,5.7,8.3,,
07/25/2023,17:09:00 -0300,,,,,,,4.316,,,,,,,,,,,,,
07/25/2023,17:10:00 -0300,0,,,184,,501,,,,,,,,,,,5.7,10,,
07/25/2023,17:12:00 -0300,0,,,181,,498,,,,,,,,,,,5,7.3,,
07/25/2023,17:14:00 -0300,0,,,188,,492,4.319,,,,,,,,,,5,8.3,,
07/25/2023,17:16:00 -0300,0,,,181,,487,,,,,,,,,,,6.3,9,,
07/25/2023,17:18:00 -0300,0,,,174,,481,,,,,,,,,,,7.3,10.4,,
07/25/2023,17:19:00 -0300,,,,,,,4.305,,,,,,,,,,,,,
07/25/2023,17:20:00 -0300,0,,,180,,478,,,,,,,,,,,6.7,9.7,,
07/25/2023,17:22:00 -0300,0,,,183,,474,,,,,,,,,,,5.7,9,,
07/25/2023,17:24:00 -0300,0,,,190,,469,4.325,,,,,,,,,,5.7,8.3,,
07/25/2023,17:26:00 -0300,0,,,184,,461,,,,,,,,,,,5.7,9.4,,
07/25/2023,17:28:00 -0300,0,,,181,,454,,,,,,,,,,,6.7,10.4,,
07/25/2023,17:29:00 -0300,,,,,,,4.301,,,,,,,,,,,,,
07/25/2023,17:30:00 -0300,0,,,181,,452,,,,,,,,,,,8,11.7,,
07/25/2023,17:32:00 -0300,0,,,197,,444,,,,,,,,,,,7.3,11,,
07/25/2023,17:34:00 -0300,0,,,188,,442,4.316,,,,,,,,,,7.7,11,,
07/25/2023,17:36:00 -0300,0,,,187,,436,,,,,,,,,,,6.7,8.7,,
07/25/2023,17:38:00 -0300,0,,,187,,432,,,,,,,,,,,6.7,9.7,,
07/25/2023,17:39:00 -0300,,,,,,,4.325,,,,,,,,,,,,,
07/25/2023,17:40:00 -0300,0,,,194,,427,,,,,,,,,,,6.7,10,,
07/25/2023,17:42:00 -0300,0,,,192,,422,,,,,,,,,,,6.3,8.7,,
07/25/2023,17:44:00 -0300,0,,,187,,418,4.301,,,,,,,,,,5.7,8,,
07/25/2023,17:46:00 -0300,0,,,190,,411,,,,,,,,,,,6.3,9,,
07/25/2023,17:48:00 -0300,0,,,191,,404,,,,,,,,,,,7,11.4,,
07/25/2023,17:49:00 -0300,,,,,,,4.337,,,,,,,,,,,,,
07/25/2023,17:50:00 -0300,0,,,198,,398,,,,,,,,,,,7,11,,
07/25/2023,17:52:00 -0300,0,,,199,,393,,,,,,,,,,,7.3,10,,
07/25/2023,17:54:00 -0300,0,,,199,,387,4.325,,,,,,,,,,5.3,8.3,,
07/25/2023,17:56:00 -0300,0,,,192,,382,,,,,,,,,,,5.7,9,,
07/25/2023,17:58:00 -0300,0,,,188,,377,,,,,,,,,,,6,8.7,,
07/25/2023,17:59:00 -0300,,,,,,,4.301,,,,,,,,,,,,,
07/25/2023,18:00:00 -0300,0,,,192,,373,,,,,,,,,,,6,9.7,,
07/25/2023,18:02:00 -0300,0,,,198,,366,,,,,,,,,,,6.3,10.7,,
07/25/2023,18:04:00 -0300,0,,,205,,362,4.331,,,,,,,,,,9,11.4,,
07/25/2023,18:06:00 -0300,0,,,195,,358,,,,,,,,,,,7.3,11,,
07/25/2023,18:08:00 -0300,0,,,188,,353,,,,,,,,,,,8.3,11,,
07/25/2023,18:09:00 -0300,,,,,,,4.343,,,,,,,,,,,,,
07/25/2023,18:10:00 -0300,0,,,206,,347,,,,,,,,,,,8,10.4,,
07/25/2023,18:12:00 -0300,0,,,194,,342,,,,,,,,,,,6.3,9.4,,
07/25/2023,18:14:00 -0300,0,,,197,,336,4.301,,,,,,,,,,6.7,9.4,,
07/25/2023,18:16:00 -0300,0,,,198,,331,,,,,,,,,,,6.7,9.7,,
07/25/2023,18:18:00 -0300,0,,,197,,324,,,,,,,,,,,7,11,,
07/25/2023,18:19:00 -0300,,,,,,,4.332,,,,,,,,,,,,,
07/25/2023,18:20:00 -0300,0,,,194,,319,,,,,,,,,,,6.7,9.4,,
07/25/2023,18:22:00 -0300,0,,,201,,314,,,,,,,,,,,5.7,9,,
07/25/2023,18:24:00 -0300,0,,,194,,309,4.344,,,,,,,,,,7,11,,
07/25/2023,18:26:00 -0300,0,,,197,,304,,,,,,,,,,,8.3,11.7,,
07/25/2023,18:28:00 -0300,0,,,202,,298,,,,,,,,,,,8.7,12.7,,
07/25/2023,18:29:00 -0300,,,,,,,4.302,,,,,,,,,,,,,
07/25/2023,18:30:00 -0300,0,,,199,,293,,,,,,,,,,,7.3,11.4,,
07/25/2023,18:32:00 -0300,0,,,194,,288,,,,,,,,,,,7.3,11,,
07/25/2023,18:34:00 -0300,0,,,192,,283,4.322,,,,,,,,,37,,,,
07/25/2023,18:36:00 -0300,0,,,201,,278,,,,,,,,,,30,,,,
