Date,Time,"Rain (S-RGB 21114835:21038371-1),mm,Greenwich PEINP","Solar Radiation (S-LIB 21114835:21105866-1),W/m²,Greenwich PEINP","Battery (RX3000 BATTERY 21114835:21114835-B),V,Greenwich PEINP","Wind Direction (S-WCF 21114835:21135207-3),°,Greenwich PEINP","Average wind speed (S-WCF 21114835:21135207-1),Km/h,Greenwich PEINP","Wind gust speed (S-WCF 21114835:21135207-2),Km/h,Greenwich PEINP","Temperature (S-THC 21114835:21530608-1),°C,Greenwich PEINP","RH (S-THC 21114835:21530608-2),%,Greenwich PEINP","Dew Point (S-THC 21114835:21530608-3),°C,Greenwich PEINP","Temperature (S-TMB 21114835:21098926-1),°C,Greenwich PEINP"
01/02/2024,05:05:00 -0400,,,4.077,,,,,,,
01/02/2024,05:10:00 -0400,,,4.078,,,,,,,
01/02/2024,05:15:00 -0400,,,4.071,,,,,,,
01/02/2024,05:20:00 -0400,,,4.077,,,,,,,
01/02/2024,05:25:00 -0400,,,4.078,,,,,,,
01/02/2024,05:30:00 -0400,,,4.069,,,,,,,
01/02/2024,05:35:00 -0400,,,4.075,,,,,,,
01/02/2024,05:40:00 -0400,,,4.078,,,,,,,
01/02/2024,05:45:00 -0400,,,4.068,,,,,,,
01/02/2024,05:50:00 -0400,,,4.075,,,,,,,
01/02/2024,05:55:00 -0400,,,4.077,,,,,,,
01/02/2024,06:00:00 -0400,,,4.068,,,,,,,
01/02/2024,06:05:00 -0400,,,4.074,,,,,,,
01/02/2024,06:10:00 -0400,,,4.075,,,,,,,
01/02/2024,06:15:00 -0400,,,4.068,,,,,,,
01/02/2024,06:20:00 -0400,,,4.074,,,,,,,
01/02/2024,06:25:00 -0400,,,4.077,,,,,,,
01/02/2024,06:30:00 -0400,,,4.068,,,,,,,
01/02/2024,06:35:00 -0400,,,4.074,,,,,,,
01/02/2024,06:40:00 -0400,,,4.074,,,,,,,
01/02/2024,06:45:00 -0400,,,4.066,,,,,,,
01/02/2024,06:50:00 -0400,,,4.072,,,,,,,
01/02/2024,06:55:00 -0400,,,4.074,,,,,,,
01/02/2024,07:00:00 -0400,,,4.065,,,,,,,
01/02/2024,07:05:00 -0400,,,4.072,,,,,,,
01/02/2024,07:10:00 -0400,,,4.074,,,,,,,
01/02/2024,07:15:00 -0400,,,4.063,,,,,,,
01/02/2024,07:20:00 -0400,,,4.071,,,,,,,
01/02/2024,07:25:00 -0400,,,4.072,,,,,,,
01/02/2024,07:30:00 -0400,,,4.065,,,,,,,
01/02/2024,07:35:00 -0400,,,4.069,,,,,,,
01/02/2024,07:40:00 -0400,,,4.072,,,,,,,
01/02/2024,07:45:00 -0400,,,4.065,,,,,,,
01/02/2024,07:50:00 -0400,,,4.072,,,,,,,
01/02/2024,07:55:00 -0400,,,4.075,,,,,,,
01/02/2024,08:00:00 -0400,,,4.069,,,,,,,
01/02/2024,08:05:00 -0400,,,4.078,,,,,,,
01/02/2024,08:10:00 -0400,,,4.083,,,,,,,
01/02/2024,08:15:00 -0400,,,4.078,,,,,,,
01/02/2024,08:20:00 -0400,,,4.093,,,,,,,
01/02/2024,08:25:00 -0400,,,4.102,,,,,,,
01/02/2024,08:30:00 -0400,,,4.099,,,,,,,
01/02/2024,08:35:00 -0400,,,4.12,,,,,,,
01/02/2024,08:40:00 -0400,,,4.134,,,,,,,
01/02/2024,08:45:00 -0400,,,4.108,,,,,,,
01/02/2024,08:50:00 -0400,,,4.151,,,,,,,
01/02/2024,08:55:00 -0400,,,4.172,,,,,,,
01/02/2024,09:00:00 -0400,,,4.176,,,,,,,
